,day,location,total_trajectories,vehicles_filtered,bikes_filtered,persons_filtered
142,2024-09-18 00:00:01-05:00,7,10736,9024,106,437
143,2024-09-18 00:00:01-05:00,8,17655,10754,122,486
144,2024-09-19 00:00:01-05:00,1,28182,19765,144,982
145,2024-09-19 00:00:01-05:00,2,40776,17070,143,881
146,2024-09-19 00:00:01-05:00,3,38239,17653,89,359
147,2024-09-19 00:00:01-05:00,4,16945,10575,59,205
148,2024-09-19 00:00:01-05:00,5,24979,8750,86,331
149,2024-09-19 00:00:01-05:00,6,30457,12000,145,1230
150,2024-09-19 00:00:01-05:00,7,12101,9636,85,468
151,2024-09-19 00:00:01-05:00,8,19618,11679,106,486
152,2024-09-20 00:00:01-05:00,1,27611,20931,166,1010
153,2024-09-20 00:00:01-05:00,2,43721,17963,196,993
154,2024-09-20 00:00:01-05:00,3,39740,18301,119,475
155,2024-09-20 00:00:01-05:00,4,17013,8657,73,209
156,2024-09-20 00:00:01-05:00,5,23240,8924,118,412
157,2024-09-20 00:00:01-05:00,6,40617,16434,319,1642
158,2024-09-20 00:00:01-05:00,7,13012,10073,117,611
159,2024-09-20 00:00:01-05:00,8,20673,11674,122,359
160,2024-09-21 00:00:01-05:00,1,20173,15945,154,659
161,2024-09-21 00:00:01-05:00,2,39857,14290,205,918
162,2024-09-21 00:00:01-05:00,3,32580,15017,107,429
163,2024-09-21 00:00:01-05:00,4,17290,10277,95,213
164,2024-09-21 00:00:01-05:00,5,20753,7444,82,325
165,2024-09-21 00:00:01-05:00,6,50263,18206,293,2238
166,2024-09-21 00:00:01-05:00,7,12164,9942,122,570
167,2024-09-21 00:00:01-05:00,8,19170,10705,127,776
168,2024-09-22 00:00:01-05:00,1,17869,13951,178,615
169,2024-09-22 00:00:01-05:00,2,29076,12501,226,854
170,2024-09-22 00:00:01-05:00,3,25443,13227,116,353
171,2024-09-22 00:00:01-05:00,4,17222,9457,107,231
172,2024-09-22 00:00:01-05:00,5,24557,6450,101,325
173,2024-09-22 00:00:01-05:00,6,33798,15024,241,1852
174,2024-09-22 00:00:01-05:00,7,9413,8085,93,308
175,2024-09-22 00:00:01-05:00,8,14913,10064,95,272
176,2024-09-23 00:00:01-05:00,1,24201,17851,70,907
177,2024-09-23 00:00:01-05:00,2,33442,14669,69,788
178,2024-09-23 00:00:01-05:00,3,28011,15779,36,318
179,2024-09-23 00:00:01-05:00,4,15143,10406,31,213
180,2024-09-23 00:00:01-05:00,5,19363,6566,36,253
181,2024-09-23 00:00:01-05:00,6,37503,18162,166,1966
182,2024-09-23 00:00:01-05:00,7,10090,8566,57,441
183,2024-09-23 00:00:01-05:00,8,15572,9717,76,361
184,2024-09-24 00:00:01-05:00,1,23788,18179,89,752
185,2024-09-24 00:00:01-05:00,2,26902,11871,70,637
186,2024-09-24 00:00:01-05:00,3,24475,13886,31,267
187,2024-09-24 00:00:01-05:00,4,12058,9320,34,115
188,2024-09-24 00:00:01-05:00,5,0,0,0,0
189,2024-09-24 00:00:01-05:00,6,39412,17722,149,1805
190,2024-09-24 00:00:01-05:00,7,10182,8508,59,501
191,2024-09-24 00:00:01-05:00,8,16242,9981,71,338
192,2024-09-25 00:00:01-05:00,1,25502,17820,150,1021
193,2024-09-25 00:00:01-05:00,2,29698,12021,101,692
194,2024-09-25 00:00:01-05:00,3,41023,17022,109,464
195,2024-09-25 00:00:01-05:00,4,16135,10698,74,214
196,2024-09-25 00:00:01-05:00,5,0,0,0,0
197,2024-09-25 00:00:01-05:00,6,39025,17669,313,1796
198,2024-09-25 00:00:01-05:00,7,11051,9088,91,539
199,2024-09-25 00:00:01-05:00,8,16350,10697,128,472
200,2024-09-26 00:00:01-05:00,1,24322,19517,119,808
201,2024-09-26 00:00:01-05:00,2,34446,10501,79,505
202,2024-09-26 00:00:01-05:00,3,42715,16925,73,298
203,2024-09-26 00:00:01-05:00,4,15840,9618,35,195
204,2024-09-26 00:00:01-05:00,5,0,0,0,0
205,2024-09-26 00:00:01-05:00,6,42911,17663,239,1675
206,2024-09-26 00:00:01-05:00,7,11435,9522,79,532
207,2024-09-26 00:00:01-05:00,8,17281,11188,91,422
208,2024-09-27 00:00:01-05:00,1,21043,17649,45,652
209,2024-09-27 00:00:01-05:00,2,40845,13106,78,476
210,2024-09-27 00:00:01-05:00,3,32089,15449,45,230
211,2024-09-27 00:00:01-05:00,4,15384,10467,40,139
212,2024-09-27 00:00:01-05:00,5,0,0,0,0
213,2024-09-27 00:00:01-05:00,6,46791,17526,152,1541
214,2024-09-27 00:00:01-05:00,7,12053,8824,25,451
215,2024-09-27 00:00:01-05:00,8,13788,11273,29,239
216,2024-09-28 00:00:01-05:00,1,15945,13306,60,641
217,2024-09-28 00:00:01-05:00,2,33169,8280,62,604
218,2024-09-28 00:00:01-05:00,3,29128,12963,59,403
219,2024-09-28 00:00:01-05:00,4,15037,9615,37,155
220,2024-09-28 00:00:01-05:00,5,0,0,0,0
221,2024-09-28 00:00:01-05:00,6,48330,16982,160,1972
222,2024-09-28 00:00:01-05:00,7,11416,8349,38,457
223,2024-09-28 00:00:01-05:00,8,14399,10634,57,336
224,2024-09-29 00:00:01-05:00,1,16013,12058,117,547
225,2024-09-29 00:00:01-05:00,2,39841,10308,123,684
226,2024-09-29 00:00:01-05:00,3,24913,11739,80,335
227,2024-09-29 00:00:01-05:00,4,14696,9506,86,129
228,2024-09-29 00:00:01-05:00,5,0,0,0,0
229,2024-09-29 00:00:01-05:00,6,39420,12183,270,1881
230,2024-09-29 00:00:01-05:00,7,8236,7103,61,337
231,2024-09-29 00:00:01-05:00,8,11024,9185,52,225
232,2024-09-30 00:00:01-05:00,1,20893,18115,97,862
233,2024-09-30 00:00:01-05:00,2,42476,12903,95,758
234,2024-09-30 00:00:01-05:00,3,29019,15863,76,386
235,2024-09-30 00:00:01-05:00,4,15615,9834,59,140
236,2024-09-30 00:00:01-05:00,5,9291,4979,46,232
237,2024-09-30 00:00:01-05:00,6,43305,16777,223,1824
238,2024-09-30 00:00:01-05:00,7,10648,8607,77,447
